author,author_gender,date,recipient,recipient_gender,length,file_name
Madame de Sévigné,woman,Na,Ménage,man,,Lettre_de_Sévigné_1
Madame de Sévigné,woman,Na,Ménage,man,,Lettre_de_Sévigné_2
Madame de Sévigné,woman,Na,Ménage,man,,Lettre_de_Sévigné_3
Comte de Bussy Rabutin,man,21 octobre 1646,Madame de Sévigné,woman,,Lettre_de_Sévigné_5
Abbé de Montreuil,man,Na,Madame de Sévigné,woman,,Lettre_de_Sévigné_6
Madame de Sévigné,woman,15 mars 1648,Comte de Bussy Rabutin,man,,Lettre_de_Sévigné_7
Comte de Bussy Rabutin,man,12 avril 1648,Madame de Sévigné,woman,,Lettre_de_Sévigné_8
Comte de Bussy Rabutin,man,5 février 1649,Madame de Sévigné,woman,,Lettre_de_Sévigné_10
Comte de Bussy Rabutin,man,5 mars 1649,Madame de Sévigné,woman,,Lettre_de_Sévigné_11
Comte de Bussy Rabutin,man,6 mars 1649,Madame de Sévigné,woman,,Lettre_de_Sévigné_12
Madame de Sévigné,woman,14 mars 1649,Lenet,man,,Lettre_de_Sévigné_13
Madame de Sévigné,woman,20 mars 1649,Lenet,man,,Lettre_de_Sévigné_14
Madame de Sévigné,woman,25 mars 1649,Lenet,man,,Lettre_de_Sévigné_15
Comte de Bussy Rabutin,man,milieu 1650,Madame de Sévigné,woman,,Lettre_de_Sévigné_16
Comte de Bussy Rabutin,man,2 juillet 1650,Madame de Sévigné,woman,,Lettre_de_Sévigné_17
Madame de Sévigné,woman,Na,Ménage,man,,Lettre_de_Sévigné_18
Scarron,man,1651,Madame de Sévigné,woman,,Lettre_de_Sévigné_19
Madame de Sévigné,woman,12 janvier 1652,Ménage,man,,Lettre_de_Sévigné_20
Madame de Sévigné,woman,25 juin 1670,M. de Grignan,man,,Lettre_de_Sévigné_109
Madame de Sévigné,woman,6 juillet 1670,Comte de Bussy Rabutin,man,,Lettre_de_Sévigné_110
Madame de Sévigné,woman,6 août 1670,M. de Grignan,man,,Lettre_de_Sévigné_112
Madame de Sévigné,woman,15 août 1670,M. de Grignan,man,,Lettre_de_Sévigné_113
Madame de Sévigné,woman,26 novembre 1670,M. de Grignan,man,,Lettre_de_Sévigné_116
Madame de Sévigné,woman,28 novembre 1670,M. de Grignan,man,,Lettre_de_Sévigné_117
Madame de Sévigné,woman,3 décembre 1670,M. de Grignan,man,,Lettre_de_Sévigné_118
Madame de Sévigné,woman,10 décembre 1670,M. de Grignan,man,,Lettre_de_Sévigné_119
Madame de Sévigné,woman,15 décembre 1670,Emmanuel de Coulanges,man,,Lettre_de_Sévigné_121
Madame de Sévigné,woman,19 décembre 1670,Emmanuel de Coulanges,man,,Lettre_de_Sévigné_122
Madame de Sévigné,woman,19 décembre 1670,Comte de Bussy Rabutin,man,,Lettre_de_Sévigné_123
Georges Sand,woman,3 janvier 1854,Augustine de Bertholdi,woman,,Correspondance_1812-1876_4_1854_CCCLXX
Georges Sand,woman,16 janvier 1854,Victor Borie,man,,Correspondance_1812-1876_4_1854_CCCLXXI
Georges Sand,woman,31 janvier 1854,Maurice Sand,man,,Correspondance_1812-1876_4_1854_CCCLXXII
Georges Sand,woman,31 janvier 1854,Maurice Sand,man,,Correspondance_1812-1876_4_1854_CCCLXXIII
Georges Sand,woman,11 mars 1854,Maurice Sand,man,,Correspondance_1812-1876_4_1854_CCCLXXIV
Georges Sand,woman,3 juin 1854,Armand Barbès,man,,Correspondance_1812-1876_4_1854_CCCLXXV
Georges Sand,woman,16 juillet 1854,S. A. le prince Napoléon (Jérôme),man,,Correspondance_1812-1876_4_1854_CCCLXXVI
Georges Sand,woman,16 juillet 1854,Charles Poncy,man,,Correspondance_1812-1876_4_1854_CCCLXXVII
Georges Sand,woman,31 juillet 1854,Victor Borie,man,,Correspondance_1812-1876_4_1854_CCCLXXVIII
Georges Sand,woman,11 août 1854,Charles Poncy,man,,Correspondance_1812-1876_4_1854_CCCLXXIX
Georges Sand,woman,5 octobre 1854,Armand Barbès,man,,Correspondance_1812-1876_4_1854_CCCLXXX
Georges Sand,woman,28 octobre 1854,Armand Barbès,man,,Correspondance_1812-1876_4_1854_CCCLXXXI
Georges Sand,woman,27 novembre 1854,Armand Barbès,man,,Correspondance_1812-1876_4_1854_CCCLXXXII
Georges Sand,woman,7 janvier 1855,Charles Jacque,man,,Correspondance_1812-1876_4_1855_CCCLXXXIII
